iter	RMSE
0	5.567457025
1	5.429018962
2	5.290688283
3	5.159358535
4	5.037942535
5	4.92599833
6	4.816518466
7	4.70102952
8	4.616086799
9	4.514533428
10	4.412738103
11	4.317595941
12	4.231003936
13	4.160763466
14	4.077889147
15	4.009998732
16	3.935167216
17	3.85604714
18	3.799319127
19	3.730182169
20	3.676676001
21	3.612956855
22	3.548720864
23	3.496822748
24	3.436597903
25	3.381903241
26	3.325825571
27	3.275483976
28	3.224442087
29	3.180619822
30	3.137390958
31	3.091063978
32	3.050714175
33	3.007541571
34	2.966548912
35	2.932279932
36	2.897117304
37	2.861839665
38	2.824334641
39	2.79037778
40	2.760343569
41	2.737025189
42	2.710961626
43	2.684654236
44	2.658982314
45	2.630544065
46	2.604712363
47	2.580438784
48	2.554482089
49	2.53577183
50	2.518397604
51	2.498165838
52	2.479014986
53	2.45763669
54	2.438957564
55	2.421521248
56	2.40604779
57	2.388461207
58	2.371420002
59	2.355391188
60	2.339469807
61	2.329287771
62	2.312197521
63	2.29616698
64	2.280853513
65	2.269027792
66	2.256696362
67	2.240250037
68	2.228219688
69	2.216652073
70	2.205535675
71	2.196206972
72	2.189564128
73	2.177636877
74	2.166770814
75	2.154346881
76	2.144489229
77	2.137460511
78	2.12653378
79	2.117740264
80	2.107219978
81	2.098775308
82	2.090573225
83	2.081828561
84	2.074719467
85	2.067856877
86	2.058111244
87	2.050853285
88	2.043732952
89	2.040561689
90	2.032467167
91	2.026239978
92	2.020684079
93	2.01674839
94	2.010736666
95	2.004637101
96	1.998579556
97	1.992677315
98	1.987577968
99	1.982146241
100	1.975149784
101	1.9691833
102	1.965680883
103	1.959940786
104	1.956319498
105	1.953907062
106	1.948059288
107	1.944147585
108	1.937978039
109	1.932397536
110	1.926878611
111	1.922482186
112	1.916919085
113	1.910935921
114	1.905247979
115	1.901253543
116	1.897510576
117	1.893435288
118	1.887971145
119	1.885053641
120	1.881196912
121	1.877929193
122	1.875117795
123	1.8716648
124	1.868636908
125	1.865002765
126	1.860764258
127	1.856823715
128	1.852397042
129	1.84987761
130	1.8449944
131	1.841640943
132	1.837695248
133	1.831621467
134	1.829852657
135	1.825817557
136	1.822679345
137	1.819136426
138	1.815201879
139	1.811866788
140	1.808474854
141	1.807526384
142	1.803392402
143	1.800797106
144	1.796926355
145	1.796048644
146	1.793329502
147	1.789778149
148	1.78633296
149	1.782998044
150	1.779678657
151	1.776304395
152	1.773484691
153	1.771143113
154	1.767808369
155	1.766148341
156	1.763022014
157	1.760147414
158	1.756531762
159	1.752893383
160	1.749147177
161	1.74621645
162	1.743241435
163	1.740238028
164	1.737014215
165	1.732370628
166	1.726739416
167	1.726224257
168	1.722962297
169	1.722257953
170	1.718280398
171	1.716598555
172	1.712638755
173	1.712036942
174	1.708634715
175	1.705853058
176	1.701473248
177	1.69997321
178	1.697472091
179	1.695279725
180	1.692776554
181	1.690034554
182	1.687180242
183	1.685176801
184	1.682730886
185	1.679900573
186	1.676398748
187	1.673323585
188	1.67121597
189	1.666854184
190	1.664232909
191	1.662937532
192	1.660734811
193	1.658934059
194	1.655472414
195	1.653329602
196	1.651356656
197	1.649790416
198	1.647670341
199	1.645362768
200	1.642533482
201	1.641013276
202	1.639240837
203	1.637684809
204	1.637081127
205	1.634882858
206	1.634650928
207	1.632623041
208	1.630190945
209	1.629196844
210	1.626202156
211	1.625098285
212	1.623930975
213	1.622639045
214	1.621447171
215	1.620281524
216	1.619536525
217	1.616738555
218	1.61427803
219	1.612514542
220	1.610655055
221	1.608666925
222	1.606318346
223	1.603155555
224	1.601537522
225	1.599919738
226	1.597108888
227	1.596867509
228	1.595866085
229	1.593536169
230	1.590680581
231	1.590188461
232	1.589663695
233	1.588824341
234	1.587873869
235	1.587024429
236	1.584320354
237	1.583319552
238	1.582056842
239	1.580976626
240	1.576965341
241	1.575914504
242	1.57534629
243	1.574500021
244	1.57415126
245	1.57339259
246	1.571867296
247	1.568198222
248	1.567789949
249	1.565171884
250	1.56384509
251	1.562491601
252	1.561224164
253	1.557238493
254	1.556178151
255	1.552303868
256	1.549290669
257	1.547582445
258	1.544823975
259	1.544379906
260	1.542627052
261	1.541633073
262	1.538601463
263	1.536376353
264	1.534155671
265	1.533675187
266	1.532435165
267	1.530253657
268	1.526673221
269	1.525786868
270	1.524989294
271	1.52470879
272	1.522559741
273	1.521998921
274	1.521632282
275	1.520010642
276	1.517602791
277	1.516890774
278	1.512751354
279	1.512248553
280	1.511520806
281	1.511266412
282	1.51037701
283	1.50991139
284	1.508685042
285	1.508076663
286	1.506902659
287	1.503525562
288	1.50304287
289	1.499254408
290	1.498236105
291	1.498049104
292	1.495867764
293	1.494797796
294	1.491111401
295	1.489629213
296	1.488850524
297	1.488509667
298	1.48797657
299	1.487314361
300	1.485100467
301	1.482859358
302	1.481456122
303	1.480848567
304	1.48053066
305	1.479203355
306	1.479102583
307	1.478761834
308	1.477216478
309	1.473568033
310	1.472081642
311	1.469508052
312	1.46649385
313	1.464866791
314	1.461655744
315	1.460476989
316	1.458699597
317	1.456464807
318	1.451933776
319	1.449807472
320	1.44781143
321	1.447562626
322	1.447244883
323	1.44625733
324	1.446004587
325	1.444997051
326	1.441008989
327	1.440012735
328	1.437902721
329	1.437242932
330	1.434893197
331	1.433901026
332	1.433757215
333	1.432119683
334	1.431445621
335	1.431297833
336	1.430402418
337	1.426858899
338	1.426469115
339	1.424372525
340	1.423525541
341	1.422940012
342	1.421065339
343	1.418130758
