iter	Passed	Remaining
0	44	40066
1	94	42244
2	143	42996
3	201	45160
4	250	44857
5	301	44882
6	356	45457
7	398	44405
8	449	44547
9	504	44915
10	555	44890
11	604	44765
12	657	44877
13	707	44799
14	759	44798
15	812	44918
16	862	44799
17	913	44757
18	966	44811
19	1018	44808
20	1069	44748
21	1122	44780
22	1173	44751
23	1224	44683
24	1266	44343
25	1316	44244
26	1366	44174
27	1419	44191
28	1470	44169
29	1519	44076
30	1571	44057
31	1621	43979
32	1671	43927
33	1724	43931
34	1759	43484
35	1787	42892
36	1837	42862
37	1889	42871
38	1941	42855
39	1982	42622
40	2026	42457
41	2076	42413
42	2125	42354
43	2177	42362
44	2226	42309
45	2275	42250
46	2327	42244
47	2369	42055
48	2426	42140
49	2462	41855
50	2510	41793
51	2561	41777
52	2614	41778
53	2664	41736
54	2713	41695
55	2766	41700
56	2817	41671
57	2868	41641
58	2920	41625
59	2970	41588
60	2997	41231
61	3025	40893
62	3075	40862
63	3116	40711
64	3166	40682
65	3219	40686
66	3270	40655
67	3320	40621
68	3364	40515
69	3414	40491
70	3466	40477
71	3495	40202
72	3515	39822
73	3564	39790
74	3614	39762
75	3668	39770
76	3717	39730
77	3767	39704
78	3821	39713
79	3862	39592
80	3912	39564
81	3964	39549
82	4013	39503
83	4064	39479
84	4116	39466
85	4142	39209
86	4190	39163
87	4240	39131
88	4294	39129
89	4314	38832
90	4366	38820
91	4419	38816
92	4462	38719
93	4488	38489
94	4541	38484
95	4591	38455
96	4640	38419
97	4692	38402
98	4743	38376
99	4792	38338
100	4846	38337
101	4897	38313
102	4947	38280
103	5002	38287
104	5052	38251
105	5072	37992
106	5124	37979
107	5174	37943
108	5224	37912
109	5276	37893
110	5327	37866
111	5378	37839
112	5430	37821
113	5480	37788
114	5532	37763
115	5583	37739
116	5636	37718
117	5685	37680
118	5742	37688
119	5792	37650
120	5841	37610
121	5894	37591
122	5915	37366
123	5964	37326
124	6017	37308
125	6100	37477
126	6167	37538
127	6221	37521
128	6274	37499
129	6329	37492
130	6382	37467
131	6436	37450
132	6493	37448
133	6551	37452
134	6607	37441
135	6670	37474
136	6724	37449
137	6775	37411
138	6825	37370
139	6886	37382
140	6948	37405
141	6970	37209
142	7027	37202
143	7081	37179
144	7137	37163
145	7154	36946
146	7208	36925
147	7261	36896
148	7386	37229
149	7438	37190
150	7489	37148
151	7543	37120
152	7593	37075
153	7644	37032
154	7698	37002
155	7749	36957
156	7802	36924
157	7856	36897
158	7908	36856
159	7959	36811
160	8013	36781
161	8064	36738
162	8114	36691
163	8173	36681
164	8225	36643
165	8277	36602
166	8334	36581
167	8349	36378
168	8401	36339
169	8417	36144
170	8467	36099
171	8518	36055
172	8569	36012
173	8585	35821
174	8638	35789
175	8689	35746
176	8741	35707
177	8795	35674
178	8845	35630
179	8895	35583
180	8951	35557
181	9001	35511
182	9055	35478
183	9112	35457
184	9162	35413
185	9214	35370
186	9268	35339
187	9322	35307
188	9373	35262
189	9426	35225
190	9479	35188
191	9530	35143
192	9585	35113
193	9646	35105
194	9696	35058
195	9750	35021
196	9801	34975
197	9853	34936
198	9911	34913
199	9961	34866
200	10016	34833
201	10070	34797
202	10128	34776
203	10181	34737
204	10234	34697
205	10286	34655
206	10337	34607
207	10391	34570
208	10442	34526
209	10492	34476
210	10546	34439
211	10596	34389
212	10647	34341
213	10700	34303
214	10764	34296
215	10815	34250
216	10872	34220
217	10923	34172
218	10977	34135
219	11031	34098
220	11081	34047
221	11133	34001
222	11186	33960
223	11237	33912
224	11288	33864
225	11340	33820
226	11391	33774
227	11441	33723
228	11499	33696
229	11551	33650
230	11603	33605
231	11657	33564
232	11706	33511
233	11756	33459
234	11810	33419
235	11860	33369
236	11912	33324
237	11964	33280
238	12016	33234
239	12066	33184
240	12120	33143
241	12171	33093
242	12221	33043
243	12275	33003
244	12335	32977
245	12385	32928
246	12440	32888
247	12491	32840
248	12543	32793
249	12596	32750
250	12646	32699
251	12696	32647
252	12755	32619
253	12806	32570
254	12855	32516
255	12908	32473
256	12958	32422
257	13027	32416
258	13088	32393
259	13144	32356
260	13203	32326
261	13261	32292
262	13312	32243
263	13363	32192
264	13417	32151
265	13468	32101
266	13519	32052
267	13571	32005
268	13624	31959
269	13675	31908
270	13729	31867
271	13781	31818
272	13831	31767
273	13886	31726
274	13938	31677
275	13991	31631
276	14044	31588
277	14094	31536
278	14145	31484
279	14198	31438
280	14247	31386
281	14297	31333
282	14350	31286
283	14401	31237
284	14453	31190
285	14507	31146
286	14559	31097
287	14609	31046
288	14663	31000
289	14712	30947
290	14762	30895
291	14818	30854
292	14869	30804
293	14923	30760
294	14976	30715
295	15027	30663
296	15077	30612
297	15131	30567
298	15182	30518
299	15234	30469
300	15289	30426
301	15340	30375
302	15392	30326
303	15444	30278
304	15494	30227
305	15545	30176
306	15599	30132
307	15650	30081
308	15701	30030
309	15757	29989
310	15808	29938
311	15858	29886
312	15915	29848
313	15968	29801
314	16020	29751
315	16076	29711
316	16127	29660
317	16179	29612
318	16238	29575
319	16292	29529
320	16342	29477
321	16395	29429
322	16446	29379
323	16498	29330
324	16550	29282
325	16602	29232
326	16653	29181
327	16707	29136
328	16760	29088
329	16811	29038
330	16866	28994
331	16917	28943
332	16972	28899
333	17033	28865
334	17085	28816
335	17139	28769
336	17196	28728
337	17252	28686
338	17306	28639
339	17363	28598
340	17416	28550
341	17468	28500
342	17521	28453
343	17572	28402
